052,0,0
4126,2135.0,0.0,0.000,0.043,0,0
4146,2135.0,0.0,0.000,0.037,0,0
4166,2135.0,0.0,0.000,0.032,0,0
4186,2135.0,0.0,0.000,0.028,0,0
4206,2135.0,0.0,0.000,0.025,0,0
4226,2135.0,0.0,0.000,0.023,0,0
4246,2135.0,0.0,0.000,0.021,0,0
---- CSV DUMP END ----
---- CSV DUMP BEGIN ----
t_ms,pos_mm,remain_mm,v_cmd_mps,v_act_mps,duty,state
403,0.0,2000.0,0.030,0.000,4,0
423,0.0,2000.0,0.060,0.000,9,0
443,0.0,2000.0,0.090,0.000,13,0
463,0.0,2000.0,0.120,0.000,18,0
483,0.0,2000.0,0.150,0.000,22,0
503,0.0,2000.0,0.180,0.000,27,0
523,0.0,2000.0,0.210,0.000,32,0
543,0.0,2000.0,0.240,0.000,36,0
563,0.0,2000.0,0.270,0.000,41,0
583,0.0,2000.0,0.300,0.000,45,0
603,0.0,2000.0,0.330,0.000,50,0
623,5.0,1995.0,0.360,0.253,17,0
643,10.0,1990.0,0.390,0.227,25,0
663,10.0,1990.0,0.420,0.133,44,0
683,10.0,1990.0,0.450,0.087,56,0
703,10.0,1990.0,0.480,0.064,64,0
723,20.0,1980.0,0.510,0.544,-3,0
743,20.0,1980.0,0.540,0.181,56,0
763,20.0,1980.0,0.570,0.105,72,0
783,35.0,1965.0,0.600,0.351,39,0
803,40.0,1960.0,0.630,0.147,75,0
823,45.0,1955.0,0.660,0.292,58,0
843,55.0,1945.0,0.690,0.720,-1,0
863,65.0,1935.0,0.720,1.558,-123,0
883,65.0,1935.0,0.750,0.241,79,0
903,75.0,1925.0,0.780,0.444,53,0
923,85.0,1915.0,0.810,1.159,-49,0
943,90.0,1910.0,0.840,0.222,95,0
963,95.0,1905.0,0.870,0.253,96,0
983,105.0,1895.0,0.900,0.320,90,0
1003,115.0,1885.0,0.930,0.314,96,0
1023,130.0,1870.0,0.960,0.339,97,0
1043,135.0,1865.0,0.990,0.337,103,0
1063,150.0,1850.0,1.020,0.433,93,0
1083,155.0,1845.0,1.050,0.400,103,0
1103,165.0,1835.0,1.080,0.443,101,0
1123,175.0,1825.0,1.110,0.481,100,0
1143,190.0,1810.0,1.140,0.583,90,0
1163,200.0,1800.0,1.170,0.529,103,0
1183,210.0,1790.0,1.200,0.528,108,0
1203,215.0,1785.0,1.230,0.287,149,0
1223,225.0,1775.0,1.260,0.645,100,0
1243,240.0,1760.0,1.290,0.662,103,0
1263,250.0,1750.0,1.320,0.671,106,0
1283,265.0,1735.0,1.350,0.689,108,0
1303,280.0,1720.0,1.380,0.720,109,0
1323,295.0,1705.0,1.410,0.743,110,0
1343,310.0,1690.0,1.440,0.799,107,0
1363,325.0,1675.0,1.470,0.813,109,0
1383,345.0,1655.0,1.500,0.806,115,0
1403,355.0,1645.0,1.500,0.883,104,0
1423,365.0,1635.0,1.500,0.889,104,0
1443,380.0,1620.0,1.500,0.876,106,0
1463,400.0,1600.0,1.500,0.873,107,0
1483,410.0,1590.0,1.500,0.944,97,0
1503,430.0,1570.0,1.500,0.889,105,0
1523,450.0,1550.0,1.500,0.940,98,0
1543,465.0,1535.0,1.500,0.470,169,0
1563,485.0,1515.0,1.500,1.055,82,0
1583,500.0,1500.0,1.500,1.035,85,0
1603,520.0,1480.0,1.500,0.994,91,0
1623,540.0,1460.0,1.500,1.049,83,0
1643,560.0,1440.0,1.500,1.041,85,0
1663,580.0,1420.0,1.500,1.058,82,0
1683,600.0,1400.0,1.500,1.028,87,0
1703,620.0,1380.0,1.500,1.049,84,0
1723,635.0,1365.0,1.500,0.524,164,0
1743,660.0,1340.0,1.500,1.035,87,0
1763,670.0,1330.0,1.500,0.443,177,0
1783,690.0,1310.0,1.500,2.116,-74,0
1803,705.0,1295.0,1.500,0.372,188,0
1823,725.0,1275.0,1.500,1.049,86,0
