0,0
4086,2100.0,0.0,0.000,0.020,0.041,0,0
4106,2100.0,0.0,0.000,0.018,0.035,0,0
4126,2100.0,0.0,0.000,0.017,0.031,0,0
4166,2100.0,0.0,0.000,0.015,0.024,0,0
4186,2100.0,0.0,0.000,0.014,0.022,0,0
4206,2100.0,0.0,0.000,0.013,0.020,0,1
---- CSV DUMP END ----
---- CSV DUMP BEGIN ----
t_ms,pos_mm,remain_mm,v_cmd_mps,v_act_raw_mps,v_act_filt_mps,duty,state
403,0.0,2000.0,0.030,0.000,0.000,4,0
423,0.0,2000.0,0.060,0.000,0.000,9,0
443,0.0,2000.0,0.090,0.000,0.000,13,0
463,0.0,2000.0,0.120,0.000,0.000,18,0
483,0.0,2000.0,0.150,0.000,0.000,22,0
503,0.0,2000.0,0.180,0.000,0.000,27,0
523,0.0,2000.0,0.210,0.000,0.000,32,0
543,0.0,2000.0,0.240,0.000,0.000,36,0
563,0.0,2000.0,0.270,0.000,0.000,41,0
583,0.0,2000.0,0.300,0.000,0.000,45,0
603,0.0,2000.0,0.330,0.000,0.000,50,0
623,0.0,2000.0,0.360,0.000,0.000,55,0
643,0.0,2000.0,0.390,0.000,0.000,60,0
663,5.0,1995.0,0.420,0.250,0.063,55,0
683,10.0,1990.0,0.450,0.241,0.107,53,0
703,10.0,1990.0,0.480,0.127,0.112,57,0
723,20.0,1980.0,0.510,0.697,0.259,40,0
743,20.0,1980.0,0.540,0.184,0.240,47,0
763,30.0,1970.0,0.570,0.451,0.293,44,0
783,35.0,1965.0,0.600,0.168,0.262,53,0
803,40.0,1960.0,0.630,0.274,0.265,57,0
823,50.0,1950.0,0.660,0.479,0.318,54,0
843,60.0,1940.0,0.690,0.977,0.483,34,0
863,70.0,1930.0,0.720,2.158,0.902,4,0
883,75.0,1925.0,0.750,0.249,0.739,5,0
903,80.0,1920.0,0.780,0.257,0.618,27,0
923,90.0,1910.0,0.810,0.294,0.537,44,0
943,100.0,1900.0,0.840,0.363,0.494,55,0
963,110.0,1890.0,0.870,0.406,0.472,63,0
983,120.0,1880.0,0.900,0.421,0.459,70,0
1003,130.0,1870.0,0.930,0.378,0.439,78,0
1023,145.0,1855.0,0.960,0.342,0.415,86,0
1043,160.0,1840.0,0.990,1.201,0.611,62,0
1063,170.0,1830.0,1.020,0.509,0.586,70,0
1083,180.0,1820.0,1.050,0.369,0.532,83,0
1103,190.0,1810.0,1.080,0.543,0.534,87,0
1123,205.0,1795.0,1.110,0.469,0.518,95,0
1143,220.0,1780.0,1.140,0.508,0.515,100,0
1163,225.0,1775.0,1.170,0.415,0.490,109,0
1183,235.0,1765.0,1.200,0.474,0.486,114,0
1203,240.0,1760.0,1.230,0.416,0.469,122,0
1223,255.0,1745.0,1.260,0.871,0.569,112,0
1243,270.0,1730.0,1.290,0.598,0.576,116,0
1263,280.0,1720.0,1.320,0.664,0.598,117,0
1283,295.0,1705.0,1.350,0.675,0.618,119,0
